chunk_id,document_id,file_name,lecture_no,lecture_title_en,lecture_title_zh,page_start,page_end,knowledge_type,difficulty,language,keywords,content_preview,keep,is_core_knowledge,corrected_topic,corrected_knowledge_type,review_notes
fd7c65822fc23770_p0003_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,3,3,concept,basic,en,GIS; spatial analysis; spatio-temporal; model,"The thought of spatial analysis can be traced back to ….. • Geospatial analysis can be traced back to as far as 21,000 years ago, to the Lascaux cave in southwestern France https://archeologie.culture.gouv.fr/lascaux/en. • In this cave, Paleolithic （旧石器时代的） artists painted commonly hunted animals and what may experts believe are astronomical star maps for either religious ceremonies or potentially even migration patterns prey. • Though crude, theses paintings demonstrate an ancient example of humans creating abs...",,,,,
fd7c65822fc23770_p0006_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,6,6,concept,basic,en,GIS; spatial analysis,"The thought of spatial analysis can be traced back to ….. This figure depicts the decimation of Napoleon’s army in the Russian campaign of 1812. The Map shows the size and location of the army over time, along with prevailing weather conditions. Soldiers entered Russia Soldiers withdrew from Russia Scale Temperatures",,,,,
fd7c65822fc23770_p0014_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,14,14,concept,basic,en,GIS; spatial analysis,"• The field of geographic information systems (GIS) started in the 1960s as computers and early concepts of quantitative and computational geography emerged. • Early GIS work included important research by the academic community. • Later, the National Center for Geographic Information and Analysis, led by Michael Goodchild, formalized research on key geographic information science topics such as spatial analysis and visualization. • These efforts fueled a quantitative revolution in the world of geographic scienc...",,,,,
fd7c65822fc23770_p0015_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,15,15,concept,basic,en,GIS; spatial analysis,"Roger Tomlinson’s pioneering work to initiate, plan, and develop the Canada Geographic Information System resulted in the first computerized GIS in the world in 1963. • The Canadian government had commissioned Tomlinson to create a manageable inventory of its natural resources. • He envisioned using computers to merge natural resource data from all provinces. Tomlinson created the design for automated computing to store and process large amounts of data, which enabled Canada to begin its national land-use manage...",,,,,
fd7c65822fc23770_p0016_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,16,16,method,basic,en,GIS; spatial analysis; OLS,"In 1969, Jack Dangermond- a member of the Harvard Lab—and his wife Laura founded Environmental Systems Research Institute, Inc. (Esri). The consulting firm applied computer mapping and spatial analysis to help land use planners and land resource managers make informed decisions. • The company’s early work demonstrated the value of GIS for problem solving. • Esri went on to develop many of the GIS mapping and spatial analysis methods now in use. • These results generated a wider interest in the company’s software...",,,,,
fd7c65822fc23770_p0017_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,17,17,concept,basic,en,GIS; spatial analysis,"• GIS gives people the ability to create their own digital map layers to help solve realworld problems. • GIS has also evolved into a means for data sharing and collaboration, inspiring a vision that is now rapidly becoming a reality—a continuous, overlapping, and interoperable GIS database of the world, about virtually all subjects. • Today, hundreds of thousands of organizations are sharing their work and creating billions of maps every day to tell stories and reveal patterns, trends, and relationships about e...",,,,,
fd7c65822fc23770_p0018_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,18,18,concept,basic,en,GIS; spatial analysis,"GIS is about uncovering meaning and insights from within data. It is rapidly evolving and providing a whole new framework and process for understanding. Jack Dangermond，CEO, Esri , and how GIS professionals, the Geographic Approach and GIS play a key role in our collective future. • https://mediaspace.esri.com/p laylist/dedicated/346994422/1 _h7gn036x/1_he6kxrhi 前6:00",,,,,
fd7c65822fc23770_p0030_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,30,30,method,basic,en,GIS; spatial analysis; spatial statistics; model,• Geospatial Analysis • Quantitative Methods for Geographic Analysis • Geographic Information Analysis • Geographic Information Statistical Analysis • Spatial Statistics and Modelling • Spatial Data Analysis • GIS Spatial Analysis • …… What is Spatial Analysis？,,,,,
fd7c65822fc23770_p0031_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,31,31,concept,basic,zh,GIS; spatial analysis,"• Spatial analysis is a statistical description or explanation of spatial information, attribute information or common information of data (Goodchild 1987) • 空间分析是对数据的空间信息、属性性息或者二者共同信息的 统计描述或说明. • Spatial analysis is a quantitative study of geospatial phenomena. Its conventional ability is to manipulate spatial data into different forms and extract its potential information. (Openshaw, 1997) • 空间分析是对于地理空间现象的定量研究，其常规能力是操纵 空间数据使之成为不同的形式，并提取其潜在的信息.",,,,,
fd7c65822fc23770_p0032_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,32,32,concept,basic,zh,GIS; spatial analysis,• Spatial analysis is a spatial data analysis technology based on the location and morphological characteristics of geographical objects. Its purpose is to extract and transmit information. • 空间分析是基于地理对象的位置和形态特征的空间数据分析技术， 其目的在于提取和传输信息 (郭仁忠院士，1997)。 • 空间分析是地理学的精髓，是为解答问题而进行的空间数据分析与挖 掘（刘湘南，2017）。 • Spatial analysis is the essence/core of geography，it aims to spatial data analysis and data mining to solve problems.,,,,,
fd7c65822fc23770_p0034_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,34,34,method,basic,zh,GIS; spatial analysis; spatial pattern; regression; clustering; time series; model,Methods Applications Probability theory and model 概率论 用于地理现象、地理要素的随机分布研究。 Hypothesis testing and sampling 假设检验与抽样 用于地理数据的采集和整理。 Analysis of Correlation 相关分析 分析地理要素之间的相关关系。 Analysis of Variance 方差分析 研究地理数据分布的离散程度。 Analysis of Regression 回归分析 用于拟合地理要素之间具体的数量关系、预测发展趋势。 Spatial Patterns 空间模式分析 用于分析地理分布模式 Time Series analysis 时间序列分析 用于地理过程时间序列的预测与控制研究。 Analysis of Principal Components 主成分分析 用于地理数据的降维处理及地理要素的因素分析与综合评价研究。 Clustering Analysis 聚类分析 用于各种地理要素分类、各种地理区域划分。 Covariance and Coefficient of Variation协方差与变异函数 用于研究...,,,,,
fd7c65822fc23770_p0035_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,35,35,method,basic,zh,GIS; spatial analysis,Methods Applications Network Analysis 网络分析 用于交通网络、通讯网络、河流水系等地理网络的研究。 Input-output Analysis投入产出分析 用于产业部门联系分析、劳动地域构成分析、区域相互作用分析。 Geostatistical Analysis地统计分析 用于空间分布上既有随机性又有结构性或空间相关和依赖性的地理现象的研究 Fuzzy Mathematics模糊数学 用于各种模糊地理现象、地理过程、地理决策和系统评价研究。 Neural Networks and Artificial Intelligence神经网络和人工智能 用于有关地理模式的识别、地理过程机制的自学习及预测等。 Cellular Automaton 元胞自动机 用于模拟模拟生态、环境、自然灾害等多种高度复杂的地理现象的时空动态 Grey System Theory灰色系统方法 用于灰色地理系统的分析、建模、控制与决策研究。 Fractal Theory 分形理论 用于有关地理实体的形态及要素分布形态的自相似机理研究。 Wavelet Analysis小波分析 用于多层次、多尺度、多分辨率的地理...,,,,,
fd7c65822fc23770_p0036_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,36,36,concept,basic,en,GIS; spatial analysis; OLS; model,"(1) Spatial Analysis Theories空间分析理论 (Lect.2 ) • Mainly refers to spatial concepts, spatial description methods, spatial characteristics and other basic theoretical problems, but also includes the methodology to solve problems based on spatial thinking. (2) Spatial Analysis Methods 空间分析方法 (Lect3.-Lect. 14) • Mainly refers to the establishment of analysis and simulation model and development of analysis tools according to spatial characteristics and problems under the guidance of spatial analysis theory. (3) Spati...",,,,,
fd7c65822fc23770_p0037_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,37,37,concept,basic,en,GIS; spatial analysis; model,"（1）Cognition认知 • Effective acquisition of spatial data and scientific organization of its description, using the data to reproduce the thing itself, such as drawing risk map. （2）Explanation解释 • Understand and reveal the background process of geospatial data, and recognize the essential law of events, such as the geographic neighbor effect in housing prices. （3）Forecast 预报 • On the premise of understanding and grasping the current situation and law of the occurrence of events, the relevant forecast model is used...",,,,,
fd7c65822fc23770_p0038_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,38,38,concept,basic,en,GIS; spatial analysis; model,"DIKW (Data-InformationKnowledge-Wisdom) is a model of the relationship between data, information, knowledge, and wisdom that expresses the process by which data are gradually improved to information, knowledge, and even wisdom through analysis and understanding. Wisdom Knowledge Information Data Be concerned about the future; Have predictive ability Refine connections between information; Have action ability; Complete the task at hand Logical data after processing Original materials The DIKW Pyramid",,,,,
fd7c65822fc23770_p0041_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,41,41,workflow,basic,en,GIS; spatial analysis,"The process of iterative PPDAC 1.Problem 2.Plan5.Conclusion 4.Analysis 3.Data a b c d e PPDAC Cycle Spatial analysis as a whole may be considered to follow very similar lines — however the steps need clarification and some amendment. PPDAC: Problem, Plan, Data, Analysis, and Conclusions",,,,,
fd7c65822fc23770_p0042_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,42,42,method,basic,en,GIS; spatial analysis; regression,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 1. Problem Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States?",,,,,
fd7c65822fc23770_p0043_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,43,43,method,basic,en,GIS; spatial analysis; regression,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). Plan Why county is an appropriate unit of analysis? • The county is the smallest analytic unit with useful policy implications. • There is a growing interest in exploring the social-spatial relationships across all scales, including counties. • The use of counties allows for the inclusion of all geog...",,,,,
fd7c65822fc23770_p0044_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,44,44,method,basic,en,GIS; spatial analysis; regression; model,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 2. Plan • Global models generate an overall or single regression-like equation estimated on the entire or “global” data set. • Local models allow for exploring how relationships may vary across geographic space. • Global models and local models are used to investigate the relationship of spatial vari...",,,,,
fd7c65822fc23770_p0045_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,45,45,method,basic,en,GIS; spatial analysis; regression,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 2. Plan How to measure social capital? • Social capital, a term often used to describe the trust, norms, resources, and reciprocity emerging from social interactions, connections, and networks, is valuable for individuals, communities, and societies. • Social capital at county level can be measured b...",,,,,
fd7c65822fc23770_p0046_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,46,46,method,basic,en,GIS; spatial analysis; regression,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 2. Plan To investigate whether the relationships between racial, ethnic, and income diversity measures and social capital are stationary across the counties (n=3017) in the 48 contiguous United States. Methods: • Mapping and exploratory spatial data analysis methods (ESDA)? • Geographically weighted...",,,,,
fd7c65822fc23770_p0047_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,47,47,method,basic,en,GIS; spatial analysis; regression; OLS,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 3. Data Four sub-indices of social capital? • Family unity ： three variables • share of births in the past year to unmarried women • share of women ages 35–44 not currently married (nor separated) • share of children living in a single-parent household • Community health： three variables • number of...",,,,,
fd7c65822fc23770_p0048_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,48,48,method,basic,en,GIS; spatial analysis; regression,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 3. Data A = N (N - 1)/Σi ni (ni – 1) N represents the total population of individuals (or households) and ni represents the number of individuals in the ith category. Diversity calculations (race, ethnicity, income) If the index has a score of 1, there is no diversity; as the value gets higher, it be...",,,,,
fd7c65822fc23770_p0049_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,49,49,method,basic,en,GIS; spatial analysis; regression,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 3. Data Control variable: Social connectedness This measure of social isolation is an index derived from four variables: • percent who drive alone to work • percent of single-person households • percent linguistically isolated households • percent of disconnected youth Control variables: • median age...",,,,,
fd7c65822fc23770_p0050_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,50,50,method,basic,en,GIS; spatial analysis; regression; GWR,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 4. Analysis • Datasets were compiled using SPSS Version 26 (IBM Corp., 2019) and Microsoft Excel. • The dataset was then merged with the U.S. Census Bureau (2017) county shapefile in ArcGIS Pro (Esri, 2020). • The resulting shapefile with the social capital attributes was then exported and analyzed i...",,,,,
fd7c65822fc23770_p0051_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,51,51,method,basic,en,GIS; spatial analysis; regression,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 4. Analysis • Mapping and exploratory spatial data analysis methods (ESDA) • Geographically weighted regression Methods: Will illustrate these methods detailly in the following Lessons.",,,,,
fd7c65822fc23770_p0053_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,53,53,method,basic,en,GIS; spatial analysis; regression; model,"Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 5. Conclusions • This study utilized geographically weighted regression to explore the potential non-stationarity of the relationships between racial, ethnic, and income diversity and social capital. • Results indicate spatial non-stationary with regard to all three types of diversity, with statistic...",,,,,
fd7c65822fc23770_p0055_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,55,55,method,basic,en,GIS; spatial analysis; spatial statistics; spatial pattern; spatial correlation; regression; clustering; classification; machine learning; deep learning; remote sensing; time series,Title Lab. & Assignment 作业/报告等提交要求 Lect.1 Introduction to GIS Spatial Analysis Lab. 1and Assignment 1 递交作业 Lect. 2 Conceptual Frameworks for Spatial Analysis Lab. 2 and Assignment 2 Lect. 3 Data Exploration and Spatial Statistics Lab. 3 and Assignment 3 递交报告 Lect. 4 Spatial Pattern Analysis Lab. 4 and Assignment 4 Lect. 5 Spatial Correlation Analysis Lab. 5 and Assignment 5 递交报告 Lect. 6 Regression Analysis in Geography Lab. 6 and Assignment 6 Lect. 7 Geographically Weighted Regression Lab. 7 and Assignment 7 递交报...,,,,,
fd7c65822fc23770_p0060_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,60,60,method,basic,en,GIS; spatial analysis," Geospatial Analysis 7h Edition, 2024 Update • https://spatialanalysisonline.com/  Statistical Methods for Geography, Fourth Edtion, 2015, SAGE Publications • https://study.sagepub.com/rogerson5e  Terminology • https://spatialanalysisonline.com/HTML/index.html  微信公众号：虾神说D 新版白话空间统计： • https://mp.weixin.qq.com/mp/appmsgalbum?__biz=MzA4ODk4NzgyNA==&action=getalbum&alb um_id=1349424235982290944#wechat_redirect  武汉大学 空间数据分析MOOC http://mooc1.mooc.whu.edu.cn/course/206844583.html ……",,,,,
fd7c65822fc23770_p0062_c01,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,1,Introduction to GIS Spatial Analysis,空间分析导论,62,62,method,basic,en,GIS; spatial analysis; regression; model,"Read Chapter 1 and 3 in 《Geospatial Analysis》, 7th Edition, 2024 update https://spatialanalysisonline.com/HTML/index.html 2. Does the relationship between racial, ethnic, and income diversity and social capital vary across the United States? A county-level analysis using geographically weighted regression. Applied Geography, 2021, 130(1). 3. Read one SCI paper on the topic of spatial analysis which was published in recent 5 years , figure out what you are interested in and what makes you confused. • Refer to PPD...",,,,,
f4dd0c64c6159a6b_p0008_c01,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,10,Time Series Analysis,时间序列分析,8,8,method,advanced,zh,time series,文明 两河文明 古埃及 古印度 中国 发源地 两河流域 尼罗河流域 印度河流域 黄河流域 文明名称 美索不达米亚文明 古埃及文明 印度河文明 华夏文明 文明形成时间 约公元前4000年 约公元前4000年 约公元前3100年 约公元前3000年 统一政权时间 约公元前2371阿卡德王国 约公元前3100年埃及第一王朝 考古缺失 约公元前2070年夏朝 国家灭亡时间 公元前539年新巴比伦王国 被波斯帝国灭亡 公元前343年被波斯帝国灭亡 公元前1750年左右雅利安 人入侵，印度河城邦消失 多次改朝换代，文明未灭亡 文明灭亡时间 中世纪两河流域伊斯兰化 公元3世纪年古埃及文化与宗教 没落并消失 公元前1750年左右灭亡 未灭亡 Example 2: Climate Change and Human Civilization 2000年,,,,,
f4dd0c64c6159a6b_p0013_c01,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,10,Time Series Analysis,时间序列分析,13,13,method,advanced,zh,time series,Example 4 Seamless and automated rapeseed mapping for large cloudy regions using time-series optical satellite imagery • Step 1: 时序 WRI (Winter Rapeseed Index)自 动 提 取 无 云 区 域油菜，为RF分类器提 供训练样本 • Step 2:采用多种波段输 入，多时相输入的 RF分 类器，获取多时态油菜 概率图 • Step 3: 整合多时态概 率图，计算平均概率,,,,,
f4dd0c64c6159a6b_p0015_c01,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,10,Time Series Analysis,时间序列分析,15,15,method,advanced,en,time series,"Concepts of Time Series Analysis • A time series is an ordered sequence of values of a variable at equally spaced time intervals. • Time series analysis accounts for the fact that data points taken over time may have an internal structure (such as autocorrelation, trend, cyclical or seasonal variation) that should be measured.",,,,,
f4dd0c64c6159a6b_p0018_c01,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,10,Time Series Analysis,时间序列分析,18,18,method,advanced,en,time series,"Seasonal Component (S) Climate in Hangzhou Season Average sunshine hours (h) Average air temperature(℃) Average precipitation(mm) Average number of rainy days (d) Spring(Apr.) 120-150 15.5-16.5 120-190 15-17 Summer(July) 210-240 27.5-29 140-190 10-13 Autumn(Oct.) 140-180 17-19.5 50-60 7-9 Winter(Jan.) 90-120 4-5.5 70-90 12-14 • Seasonal Component (S): the component that shows a periodic pattern over one year, month, day, or week….",,,,,
