page_id,document_id,file_name,page,char_count,word_count,image_count,table_count,reason,suggested_action,text_preview,review_status,review_notes
fd7c65822fc23770_p0005,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,5,57,10,1,0,low_text;has_images,inspect_visual_page,The thought of spatial analysis can be traced back to …..,,
fd7c65822fc23770_p0008,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,8,52,9,3,0,low_text;has_images,inspect_visual_page,8 Sewer Construction in London after the cholera hit,,
fd7c65822fc23770_p0009,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,9,1,1,4,0,low_text;has_images,inspect_visual_page,9,,
fd7c65822fc23770_p0010,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,10,15,3,3,0,low_text;has_images,inspect_visual_page,The River Basin,,
fd7c65822fc23770_p0011,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,11,35,5,7,0,low_text;has_images,inspect_visual_page,Potomac River Basin 波托马克河流域的研究 浙江大学,,
fd7c65822fc23770_p0013,fd7c65822fc23770,Lect.1 Introduction to GIS Spatial Analysis 2025.pdf,13,50,6,3,0,low_text;has_images,inspect_visual_page,Agriculture Suitability Optimum Multiple Land Uses,,
f4dd0c64c6159a6b_p0005,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,5,40,6,5,0,low_text;has_images,inspect_visual_page,Example 2：Climate Change 受现代人类文明影响? Yes.,,
f4dd0c64c6159a6b_p0006,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,6,25,4,3,0,low_text;has_images,inspect_visual_page,Example 2： Climate Change,,
f4dd0c64c6159a6b_p0009,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,9,48,7,4,0,low_text;has_images,inspect_visual_page,Example 2: Climate Change and Human Civilization,,
f4dd0c64c6159a6b_p0010,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,10,72,13,4,0,low_text;has_images,inspect_visual_page,Example 3: COVID-19 https://www.covid19india.org/ Case 3: COVID-19 Cases,,
f4dd0c64c6159a6b_p0011,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,11,9,2,3,0,low_text;has_images,inspect_visual_page,Example 4,,
f4dd0c64c6159a6b_p0042,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,42,71,13,3,0,low_text;has_images,inspect_visual_page,2. Exponential smoothing—high order St (1)为一次指数平滑值 St (2)为二次指数平滑值 K 了解下,,
f4dd0c64c6159a6b_p0043,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,43,44,8,3,0,low_text;has_images,inspect_visual_page,2. Exponential smoothing—high order k2 k 了解下,,
f4dd0c64c6159a6b_p0049,f4dd0c64c6159a6b,Lect.10 Time Series Analysis -2025.pdf,49,67,8,3,0,low_text;has_images,inspect_visual_page,Example Analysis Solve： (1) Calculate auto-correlation coefficient:,,
717b20ba6ea39784_p0008,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,8,69,13,3,0,low_text;has_images,inspect_visual_page,Application Case 4: Hotspot Map of share bike rental in NYC (by hour),,
717b20ba6ea39784_p0009,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,9,66,18,3,0,low_text;has_images,inspect_visual_page,分 小 时 单 车 租 赁 热 点 图 Application Case 5: Taxi Trajectory Map in NYC,,
717b20ba6ea39784_p0010,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,10,53,7,4,0,low_text;has_images,inspect_visual_page,Search Results of disciplinary Relevancy Using “百度学术”,,
717b20ba6ea39784_p0020,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,20,42,6,3,0,low_text;has_images,inspect_visual_page,GIS can integrate spatio-temporal analysis,,
717b20ba6ea39784_p0026,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,26,53,9,5,0,low_text;has_images,inspect_visual_page,Visualizing spatio-temporal data in ArcGIS：2D LLZ ZJU,,
717b20ba6ea39784_p0027,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,27,54,9,5,0,low_text;has_images,inspect_visual_page,Visualizing spatio-temporal data in ArcGIS: 3D LLZ ZJU,,
717b20ba6ea39784_p0031,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,31,29,4,3,0,low_text;has_images,inspect_visual_page,Managing spatio-temporal data,,
717b20ba6ea39784_p0032,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,32,29,4,3,0,low_text;has_images,inspect_visual_page,Managing spatio-temporal data,,
717b20ba6ea39784_p0033,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,33,38,5,3,0,low_text;has_images,inspect_visual_page,Managing spatio-temporal data 【转换时间字段】,,
717b20ba6ea39784_p0034,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,34,38,5,3,0,low_text;has_images,inspect_visual_page,Managing spatio-temporal data 【计算结束时间】,,
717b20ba6ea39784_p0035,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,35,36,5,3,0,low_text;has_images,inspect_visual_page,Managing spatio-temporal data 【转置字段】,,
717b20ba6ea39784_p0036,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,36,29,4,3,0,low_text;has_images,inspect_visual_page,Managing spatio-temporal data,,
717b20ba6ea39784_p0037,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,37,36,5,3,0,low_text;has_images,inspect_visual_page,Managing spatio-temporal data 【添加连接】,,
717b20ba6ea39784_p0038,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,38,34,5,3,0,low_text;has_images,inspect_visual_page,Manage spatio-temporal data 【转换时区】,,
717b20ba6ea39784_p0039,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,39,58,8,3,0,low_text;has_images,inspect_visual_page,Managing spatio-temporal data (Daylight Saving Time) （夏令时),,
717b20ba6ea39784_p0048,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,48,59,8,5,0,low_text;has_images,inspect_visual_page,Time-series Forecasting Tool: Forest_based Forecast LLZ ZJU,,
717b20ba6ea39784_p0049,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,49,31,5,8,0,low_text;has_images,inspect_visual_page,Time-series forecasting LLZ ZJU,,
717b20ba6ea39784_p0055,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,55,75,11,4,0,low_text;has_images,inspect_visual_page,Emerging Hot Spot Analysis Categorizes each study area location as follows:,,
717b20ba6ea39784_p0056,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,56,75,11,6,0,low_text;has_images,inspect_visual_page,Emerging Hot Spot Analysis Categorizes each study area location as follows:,,
717b20ba6ea39784_p0057,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,57,75,11,6,0,low_text;has_images,inspect_visual_page,Emerging Hot Spot Analysis Categorizes each study area location as follows:,,
717b20ba6ea39784_p0058,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,58,0,0,2,0,empty_text;has_images,render_or_ocr,,,
717b20ba6ea39784_p0064,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,64,0,0,2,0,empty_text;has_images,render_or_ocr,,,
717b20ba6ea39784_p0068,717b20ba6ea39784,Lect.11 Spatio-Temporal Analysis -2025.pdf,68,0,0,3,0,empty_text;has_images,render_or_ocr,,,
52a5116093eb62f3_p0022,52a5116093eb62f3,Lect.12 Project Study-2025.pdf,22,55,10,3,0,low_text;has_images,inspect_visual_page,Study Area and Data • 239 square km • 47 union councils,,
52a5116093eb62f3_p0026,52a5116093eb62f3,Lect.12 Project Study-2025.pdf,26,11,2,4,0,low_text;has_images,inspect_visual_page,Methods AHP,,
52a5116093eb62f3_p0027,52a5116093eb62f3,Lect.12 Project Study-2025.pdf,27,11,2,6,0,low_text;has_images,inspect_visual_page,Methods AHP,,
52a5116093eb62f3_p0036,52a5116093eb62f3,Lect.12 Project Study-2025.pdf,36,68,11,3,0,low_text;has_images,inspect_visual_page,Results and Analysis Comparison of Resilience Level in the two Zones,,
52a5116093eb62f3_p0042,52a5116093eb62f3,Lect.12 Project Study-2025.pdf,42,53,5,2,0,low_text;has_images,inspect_visual_page,• 每组答辩时间10分钟 • 其中陈述时间8分钟，问答时间2分钟 • 在考试前后7天答辩，具体时间另行通知,,
72794892aad63188_p0003,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,3,75,12,2,0,low_text;has_images,inspect_visual_page,3 周成虎院士：遥感应用研究的若干思考 -2024 https://mp.weixin.qq.com/s/MVKCu1uBTaUL52wqZ-kkAg,,
72794892aad63188_p0011,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,11,68,11,4,0,low_text;has_images,inspect_visual_page,ANN: From Human Neural Network to Artificial Neural Network (ANN) 11,,
72794892aad63188_p0042,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,42,61,11,4,0,low_text;has_images,inspect_visual_page,CNN：Pooling Layer 池化层 42 Stride:2 Max-Pooling Average-Pooling,,
72794892aad63188_p0046,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,46,2,1,1,0,low_text;has_images,inspect_visual_page,46,,
72794892aad63188_p0053,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,53,53,9,4,0,low_text;has_images,inspect_visual_page,Deep Learning Toolbox and Frameworks in ArcGIS Pro 53,,
72794892aad63188_p0054,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,54,38,7,3,0,low_text;has_images,inspect_visual_page,DL Application Scenes in ArcGIS Pro 54,,
72794892aad63188_p0055,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,55,43,8,3,0,low_text;has_images,inspect_visual_page,DL Application Scenes in ArcGIS Pro 55 （转换）,,
72794892aad63188_p0056,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,56,67,18,4,0,low_text;has_images,inspect_visual_page,DL Models in ArcGIS Pro 56 18(Pro 2.8）/ 25 (Pro 3.0） models 2.8及 以上,,
72794892aad63188_p0057,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,57,77,14,5,0,low_text;has_images,inspect_visual_page,Workflow for DL in ArcGIS Pro 57 DL库安装 方便快捷 • 配置系统 • 检查显卡、显存 • 驱动程序 • 安装深度学习库,,
72794892aad63188_p0062,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,62,42,7,3,0,low_text;has_images,inspect_visual_page,Training a Model：Evaluating the Results 62,,
72794892aad63188_p0063,72794892aad63188,Lect.13 Deep Learning for remote sensing Data-2025(1).pdf,63,16,4,4,0,low_text;has_images,inspect_visual_page,Use the Model 63,,
4c378d9d10ead631_p0036,4c378d9d10ead631,Lect.14  Geospatial big data analysis 2025(1).pdf,36,51,7,3,0,low_text;has_images,inspect_visual_page,Methods in ArcGIS：【GeoAnalytics Server Tools 】Tools,,
4c378d9d10ead631_p0039,4c378d9d10ead631,Lect.14  Geospatial big data analysis 2025(1).pdf,39,63,8,3,0,low_text;has_images,inspect_visual_page,"ArcGIS Online [GeoAnalytics Server Tools] SFCIncidents 30,6696条",,
7385dea3761f8ced_p0004,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,4,71,9,5,0,low_text;has_images,inspect_visual_page,• The Meridian Convention of 1884 established the Greenwich Observatory,,
7385dea3761f8ced_p0008,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,8,36,6,1,0,low_text;has_images,inspect_visual_page,8 12个一级类，57个二级类 2007年二调使用 的土地利用现状 分类,,
7385dea3761f8ced_p0020,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,20,15,2,5,0,low_text;has_images,inspect_visual_page,横看成岭侧成峰，远近高低各不同,,
7385dea3761f8ced_p0038,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,38,21,2,2,0,low_text;has_images,inspect_visual_page,Spatial Heterogeneity,,
7385dea3761f8ced_p0040,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,40,33,4,4,0,low_text;has_images,inspect_visual_page,Application case:百度迁徙 全国热门的迁入迁出数据,,
7385dea3761f8ced_p0054,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,54,0,0,3,0,empty_text;has_images,render_or_ocr,,,
7385dea3761f8ced_p0056,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,56,62,7,4,0,low_text;has_images,inspect_visual_page,◆ The Concept ◆ Applications ◆ Methods for Spatial Inferences,,
7385dea3761f8ced_p0071,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,71,34,6,1,0,low_text;has_images,inspect_visual_page,www.arcgis.com www.arcgisonline.cn,,
7385dea3761f8ced_p0072,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,72,19,3,2,0,low_text;has_images,inspect_visual_page,Google Earth Engine,,
7385dea3761f8ced_p0073,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,73,60,9,2,0,low_text;has_images,inspect_visual_page,Google Earth Engine 航天宏图PIE Engine https://engine.piesat.cn/,,
7385dea3761f8ced_p0075,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,75,0,0,3,0,empty_text;has_images,render_or_ocr,,,
7385dea3761f8ced_p0077,7385dea3761f8ced,Lect.2 Conceptual Frameworks for Spatial analysis 2025.pdf,77,30,4,2,0,low_text;has_images,inspect_visual_page,https://mathworld.wolfram.com/,,
9a86369166f06027_p0007,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,7,0,0,2,0,empty_text;has_images,render_or_ocr,,,
9a86369166f06027_p0008,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,8,73,16,1,0,low_text;has_images,inspect_visual_page,• Sample mean:  = − = n i ixnx 1 1 In this case: n=30 minutes 93.21= − x,,
9a86369166f06027_p0022,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,22,67,10,5,0,low_text;has_images,inspect_visual_page,See the Details on https://spatialanalysisonline.com/HTML/index.htm,,
9a86369166f06027_p0051,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,51,18,3,3,0,low_text;has_images,inspect_visual_page,➢ Thematic Maps 51,,
9a86369166f06027_p0052,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,52,33,4,1,0,low_text;has_images,inspect_visual_page,➢ Conditional Choropleth Plots 52,,
9a86369166f06027_p0056,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,56,20,4,1,0,low_text;has_images,inspect_visual_page,➢ Mapped box plot 56,,
9a86369166f06027_p0057,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,57,67,11,1,0,low_text;has_images,inspect_visual_page,➢ Trends Analysis to examine whether any simple trend is present 57,,
9a86369166f06027_p0058,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,58,22,3,1,0,low_text;has_images,inspect_visual_page,➢ Map Interactivity 58,,
9a86369166f06027_p0059,9a86369166f06027,Lect.3 Data Exploration and Spatial Statistics-2025.pdf,59,22,3,5,0,low_text;has_images,inspect_visual_page,➢ Map Interactivity 59,,
afa9eb8f3527fce9_p0003,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,3,0,0,2,0,empty_text;has_images,render_or_ocr,,,
afa9eb8f3527fce9_p0004,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,4,0,0,2,0,empty_text;has_images,render_or_ocr,,,
afa9eb8f3527fce9_p0008,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,8,21,4,5,0,low_text;has_images,inspect_visual_page,Area Point Line 检索近五年,,
afa9eb8f3527fce9_p0012,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,12,6,1,3,0,low_text;has_images,inspect_visual_page,Random,,
afa9eb8f3527fce9_p0025,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,25,42,11,2,0,low_text;has_images,inspect_visual_page,Reject H0 if either 𝑥2 < 𝑥𝐿 2 𝑜𝑟 𝑥2 > 𝑥𝐻 2,,
afa9eb8f3527fce9_p0032,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,32,0,0,4,0,empty_text;has_images,render_or_ocr,,,
afa9eb8f3527fce9_p0033,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,33,0,0,1,0,empty_text;has_images,render_or_ocr,,,
afa9eb8f3527fce9_p0035,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,35,0,0,2,0,empty_text;has_images,render_or_ocr,,,
afa9eb8f3527fce9_p0041,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,41,28,4,4,0,low_text;has_images,inspect_visual_page,Point Density Kernel Density,,
afa9eb8f3527fce9_p0057,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,57,9,1,2,0,low_text;has_images,inspect_visual_page,Clustered,,
afa9eb8f3527fce9_p0058,afa9eb8f3527fce9,Lect.4 Spatial Pattern Analysis-2025.pdf,58,45,14,3,0,low_text;has_images,inspect_visual_page,"-1—1 68.26% -2—2 95.44% -3—3, 99.74% Z-Scores",,
0fd67661c2c7ce9b_p0029,0fd67661c2c7ce9b,Lect.5 Spatial Correlation Aanalysis 2025.pdf,29,0,0,2,0,empty_text;has_images,render_or_ocr,,,
0fd67661c2c7ce9b_p0040,0fd67661c2c7ce9b,Lect.5 Spatial Correlation Aanalysis 2025.pdf,40,58,9,1,0,low_text;has_images,inspect_visual_page,Connectivity Graph Using 500000 m as threshold distance 40,,
0fd67661c2c7ce9b_p0054,0fd67661c2c7ce9b,Lect.5 Spatial Correlation Aanalysis 2025.pdf,54,2,1,2,0,low_text;has_images,inspect_visual_page,54,,
0fd67661c2c7ce9b_p0059,0fd67661c2c7ce9b,Lect.5 Spatial Correlation Aanalysis 2025.pdf,59,67,20,4,0,low_text;has_images,inspect_visual_page,59 𝑰𝒊 = 𝑥𝒊 − ഥ𝒙 𝑆i 2 ෍ 𝒋≠𝒊 𝒘𝒊𝒋(𝒙𝒋 − ҧ𝑥) 𝑆i 2 = σ𝒋≠𝒊(𝒙𝒋− ҧ𝑥) 2 𝑛 − 1,,
0fd67661c2c7ce9b_p0060,0fd67661c2c7ce9b,Lect.5 Spatial Correlation Aanalysis 2025.pdf,60,2,1,2,0,low_text;has_images,inspect_visual_page,60,,
6dc4b98df43b590d_p0030,6dc4b98df43b590d,Lect.6 Regression Analysis in Geography 2025.pdf,30,22,2,1,0,low_text;has_images,inspect_visual_page,➢ Confidence intervals,,
6dc4b98df43b590d_p0047,6dc4b98df43b590d,Lect.6 Regression Analysis in Geography 2025.pdf,47,5,1,2,0,low_text;has_images,inspect_visual_page,电磁波谱图,,
6dc4b98df43b590d_p0054,6dc4b98df43b590d,Lect.6 Regression Analysis in Geography 2025.pdf,54,30,4,5,0,low_text;has_images,inspect_visual_page,➢ Hyperbolic Curve ， ➢ S-curve,,
6dc4b98df43b590d_p0064,6dc4b98df43b590d,Lect.6 Regression Analysis in Geography 2025.pdf,64,49,7,1,0,low_text;has_images,inspect_visual_page,Misspecification Error 𝑝 = 4000 + 20𝑥1 + 10 000𝑥2,,
64a6ace21075e3f9_p0004,64a6ace21075e3f9,Lect.7 Spatial Regression Analysis.pdf,4,0,0,1,0,empty_text;has_images,render_or_ocr,,,
